name,coincidence,parameter,label,tss
RFC,all,TOTUSJZ,24h Time-series,0.7592346014492755
RFC,all,SAVNCPP,24h Time-series,0.7590625000000001
RFC,all,ABSNJZH,6h-18h Time-series,0.7527400362318841
RFC,all,TOTUSJH,24h Time-series,0.7410688405797105
RFC,all,R_VALUE,13-24h Time-series,0.731838768115942
RFC,all,g_s,6h-18h Time-series,0.6901358695652174
RFC,all,USFLUX,13-24h Time-series,0.6712771739130435
RFC,all,TOTPOT,13-24h Time-series,0.6706249999999999
RFC,all,AREA_ACR,24h Time-series,0.668822463768116
RFC,all,slf,24h Time-series,0.464008152173913
SVM,all,d_l_f,24h Mean,0.4428940217391305
KNN,all,MEANJZD,24h Time-series,0.4244248188405797
KNN,all,MEANPOT,0-12h Time-series,0.4098867753623188
KNN,all,MEANGBT,24h Time-series,0.3972916666666666
KNN,all,SHRGT45,24h Time-series,0.3720833333333332
KNN,all,MEANGAM,13-24h Time-series,0.3289221014492754
KNN,all,MEANGBH,6h-18h Time-series,0.3203894927536231
KNN,all,MEANGBZ,24h Time-series,0.3038269927536231
KNN,all,MEANSHR,24h Time-series,0.2904257246376812
KNN,all,MEANJZH,6h-18h Time-series,0.2619474637681159
