name,tss,parameter,coincidence,label
KNN,0.7014221014492753,"('d_l_f', 'MEANGAM')",all,24h Time-series
KNN,0.6593614130434783,"('d_l_f', 'MEANGAM')",all,0-12h Time-series
KNN,0.6885190217391305,"('d_l_f', 'MEANGAM')",all,6h-18h Time-series
KNN,0.7004710144927537,"('d_l_f', 'MEANGAM')",all,13-24h Time-series
LR,0.07410326086956524,"('d_l_f', 'MEANGAM')",all,24h Time-series
LR,0.10422101449275362,"('d_l_f', 'MEANGAM')",all,0-12h Time-series
LR,0.1236141304347826,"('d_l_f', 'MEANGAM')",all,6h-18h Time-series
LR,0.07571557971014492,"('d_l_f', 'MEANGAM')",all,13-24h Time-series
RFC,0.8124637681159421,"('d_l_f', 'MEANGAM')",all,24h Time-series
RFC,0.7744882246376812,"('d_l_f', 'MEANGAM')",all,0-12h Time-series
RFC,0.8088224637681161,"('d_l_f', 'MEANGAM')",all,6h-18h Time-series
RFC,0.8010733695652175,"('d_l_f', 'MEANGAM')",all,13-24h Time-series
SVM,0.7497282608695653,"('d_l_f', 'MEANGAM')",all,24h Time-series
SVM,0.7318206521739131,"('d_l_f', 'MEANGAM')",all,0-12h Time-series
SVM,0.7501539855072463,"('d_l_f', 'MEANGAM')",all,6h-18h Time-series
SVM,0.7515806159420291,"('d_l_f', 'MEANGAM')",all,13-24h Time-series
KNN,0.6876222826086956,"('d_l_f', 'slf')",all,24h Time-series
KNN,0.6631204710144927,"('d_l_f', 'slf')",all,0-12h Time-series
KNN,0.6789221014492755,"('d_l_f', 'slf')",all,6h-18h Time-series
KNN,0.6994202898550725,"('d_l_f', 'slf')",all,13-24h Time-series
LR,0.08759510869565217,"('d_l_f', 'slf')",all,24h Time-series
LR,0.1169338768115942,"('d_l_f', 'slf')",all,0-12h Time-series
LR,0.10208333333333335,"('d_l_f', 'slf')",all,6h-18h Time-series
LR,0.08018568840579711,"('d_l_f', 'slf')",all,13-24h Time-series
RFC,0.8018659420289855,"('d_l_f', 'slf')",all,24h Time-series
RFC,0.7822101449275363,"('d_l_f', 'slf')",all,0-12h Time-series
RFC,0.7964402173913043,"('d_l_f', 'slf')",all,6h-18h Time-series
RFC,0.7917164855072464,"('d_l_f', 'slf')",all,13-24h Time-series
SVM,0.753713768115942,"('d_l_f', 'slf')",all,24h Time-series
SVM,0.7412182971014494,"('d_l_f', 'slf')",all,0-12h Time-series
SVM,0.7341304347826088,"('d_l_f', 'slf')",all,6h-18h Time-series
SVM,0.7523913043478261,"('d_l_f', 'slf')",all,13-24h Time-series
KNN,0.7097327898550724,"('d_l_f', 'ABSNJZH')",all,24h Time-series
KNN,0.6798641304347826,"('d_l_f', 'ABSNJZH')",all,0-12h Time-series
KNN,0.6859103260869567,"('d_l_f', 'ABSNJZH')",all,6h-18h Time-series
KNN,0.7040534420289855,"('d_l_f', 'ABSNJZH')",all,13-24h Time-series
LR,0.07328804347826089,"('d_l_f', 'ABSNJZH')",all,24h Time-series
LR,0.1003713768115942,"('d_l_f', 'ABSNJZH')",all,0-12h Time-series
LR,0.1303532608695652,"('d_l_f', 'ABSNJZH')",all,6h-18h Time-series
LR,0.07934782608695652,"('d_l_f', 'ABSNJZH')",all,13-24h Time-series
RFC,0.8178577898550724,"('d_l_f', 'ABSNJZH')",all,24h Time-series
RFC,0.7727355072463769,"('d_l_f', 'ABSNJZH')",all,0-12h Time-series
RFC,0.7963315217391305,"('d_l_f', 'ABSNJZH')",all,6h-18h Time-series
RFC,0.8054030797101449,"('d_l_f', 'ABSNJZH')",all,13-24h Time-series
SVM,0.766268115942029,"('d_l_f', 'ABSNJZH')",all,24h Time-series
SVM,0.7360688405797102,"('d_l_f', 'ABSNJZH')",all,0-12h Time-series
SVM,0.740126811594203,"('d_l_f', 'ABSNJZH')",all,6h-18h Time-series
SVM,0.7597735507246378,"('d_l_f', 'ABSNJZH')",all,13-24h Time-series
KNN,0.6874592391304348,"('d_l_f', 'MEANSHR')",all,24h Time-series
KNN,0.6626675724637681,"('d_l_f', 'MEANSHR')",all,0-12h Time-series
KNN,0.6794202898550724,"('d_l_f', 'MEANSHR')",all,6h-18h Time-series
KNN,0.7041259057971013,"('d_l_f', 'MEANSHR')",all,13-24h Time-series
LR,0.07743206521739131,"('d_l_f', 'MEANSHR')",all,24h Time-series
LR,0.10167572463768115,"('d_l_f', 'MEANSHR')",all,0-12h Time-series
LR,0.11026721014492756,"('d_l_f', 'MEANSHR')",all,6h-18h Time-series
LR,0.07446557971014493,"('d_l_f', 'MEANSHR')",all,13-24h Time-series
RFC,0.8110461956521741,"('d_l_f', 'MEANSHR')",all,24h Time-series
RFC,0.804008152173913,"('d_l_f', 'MEANSHR')",all,0-12h Time-series
RFC,0.7945697463768117,"('d_l_f', 'MEANSHR')",all,6h-18h Time-series
RFC,0.8025317028985506,"('d_l_f', 'MEANSHR')",all,13-24h Time-series
SVM,0.7432971014492754,"('d_l_f', 'MEANSHR')",all,24h Time-series
SVM,0.7427898550724635,"('d_l_f', 'MEANSHR')",all,0-12h Time-series
SVM,0.740403079710145,"('d_l_f', 'MEANSHR')",all,6h-18h Time-series
SVM,0.7466394927536232,"('d_l_f', 'MEANSHR')",all,13-24h Time-series
KNN,0.6824230072463767,"('d_l_f', 'MEANGBH')",all,24h Time-series
KNN,0.6787726449275362,"('d_l_f', 'MEANGBH')",all,0-12h Time-series
KNN,0.6724411231884059,"('d_l_f', 'MEANGBH')",all,6h-18h Time-series
KNN,0.7013088768115944,"('d_l_f', 'MEANGBH')",all,13-24h Time-series
LR,0.08235960144927536,"('d_l_f', 'MEANGBH')",all,24h Time-series
LR,0.12677536231884057,"('d_l_f', 'MEANGBH')",all,0-12h Time-series
LR,0.10600090579710145,"('d_l_f', 'MEANGBH')",all,6h-18h Time-series
LR,0.0859284420289855,"('d_l_f', 'MEANGBH')",all,13-24h Time-series
RFC,0.8117708333333334,"('d_l_f', 'MEANGBH')",all,24h Time-series
RFC,0.8023007246376811,"('d_l_f', 'MEANGBH')",all,0-12h Time-series
RFC,0.8068931159420292,"('d_l_f', 'MEANGBH')",all,6h-18h Time-series
RFC,0.8078125,"('d_l_f', 'MEANGBH')",all,13-24h Time-series
SVM,0.7430661231884058,"('d_l_f', 'MEANGBH')",all,24h Time-series
SVM,0.7427536231884059,"('d_l_f', 'MEANGBH')",all,0-12h Time-series
SVM,0.7400543478260869,"('d_l_f', 'MEANGBH')",all,6h-18h Time-series
SVM,0.7546422101449275,"('d_l_f', 'MEANGBH')",all,13-24h Time-series
KNN,0.6301766304347824,"('d_l_f', 'USFLUX')",all,24h Time-series
KNN,0.610258152173913,"('d_l_f', 'USFLUX')",all,0-12h Time-series
KNN,0.6177536231884059,"('d_l_f', 'USFLUX')",all,6h-18h Time-series
KNN,0.6281340579710146,"('d_l_f', 'USFLUX')",all,13-24h Time-series
LR,0.0,"('d_l_f', 'USFLUX')",all,24h Time-series
LR,0.0,"('d_l_f', 'USFLUX')",all,0-12h Time-series
LR,0.0,"('d_l_f', 'USFLUX')",all,6h-18h Time-series
LR,0.0,"('d_l_f', 'USFLUX')",all,13-24h Time-series
RFC,0.8096693840579708,"('d_l_f', 'USFLUX')",all,24h Time-series
RFC,0.7929483695652174,"('d_l_f', 'USFLUX')",all,0-12h Time-series
RFC,0.806730072463768,"('d_l_f', 'USFLUX')",all,6h-18h Time-series
RFC,0.8106521739130435,"('d_l_f', 'USFLUX')",all,13-24h Time-series
SVM,0.6335371376811595,"('d_l_f', 'USFLUX')",all,24h Time-series
SVM,0.6199094202898551,"('d_l_f', 'USFLUX')",all,0-12h Time-series
SVM,0.6394791666666666,"('d_l_f', 'USFLUX')",all,6h-18h Time-series
SVM,0.6217889492753623,"('d_l_f', 'USFLUX')",all,13-24h Time-series
KNN,0.704904891304348,"('d_l_f', 'MEANJZD')",all,24h Time-series
KNN,0.6302128623188407,"('d_l_f', 'MEANJZD')",all,0-12h Time-series
KNN,0.6362998188405798,"('d_l_f', 'MEANJZD')",all,6h-18h Time-series
KNN,0.6238360507246378,"('d_l_f', 'MEANJZD')",all,13-24h Time-series
LR,0.07773550724637683,"('d_l_f', 'MEANJZD')",all,24h Time-series
LR,0.0,"('d_l_f', 'MEANJZD')",all,0-12h Time-series
LR,0.0,"('d_l_f', 'MEANJZD')",all,6h-18h Time-series
LR,0.0,"('d_l_f', 'MEANJZD')",all,13-24h Time-series
RFC,0.8309329710144927,"('d_l_f', 'MEANJZD')",all,24h Time-series
RFC,0.8024501811594205,"('d_l_f', 'MEANJZD')",all,0-12h Time-series
RFC,0.7991621376811594,"('d_l_f', 'MEANJZD')",all,6h-18h Time-series
RFC,0.8287001811594202,"('d_l_f', 'MEANJZD')",all,13-24h Time-series
SVM,0.7622554347826088,"('d_l_f', 'MEANJZD')",all,24h Time-series
SVM,0.6398913043478262,"('d_l_f', 'MEANJZD')",all,0-12h Time-series
SVM,0.6446195652173914,"('d_l_f', 'MEANJZD')",all,6h-18h Time-series
SVM,0.6405615942028985,"('d_l_f', 'MEANJZD')",all,13-24h Time-series
KNN,0.7033152173913045,"('d_l_f', 'MEANGBT')",all,24h Time-series
KNN,0.6274501811594201,"('d_l_f', 'MEANGBT')",all,0-12h Time-series
KNN,0.6250045289855073,"('d_l_f', 'MEANGBT')",all,6h-18h Time-series
KNN,0.6279166666666668,"('d_l_f', 'MEANGBT')",all,13-24h Time-series
LR,0.07040760869565219,"('d_l_f', 'MEANGBT')",all,24h Time-series
LR,0.0,"('d_l_f', 'MEANGBT')",all,0-12h Time-series
LR,0.0,"('d_l_f', 'MEANGBT')",all,6h-18h Time-series
LR,0.0,"('d_l_f', 'MEANGBT')",all,13-24h Time-series
RFC,0.8215760869565217,"('d_l_f', 'MEANGBT')",all,24h Time-series
RFC,0.7971557971014492,"('d_l_f', 'MEANGBT')",all,0-12h Time-series
